CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
8000,56,Female,136912,"Social Media",Awareness,6497.87,0.0439185,0.0880314,0,2.39902,7.3968,19,6,9,4,688,IsConfid,ToolConfid,1
8001,69,Male,41760,Email,Retention,3898.67,0.155725,0.182725,42,2.91714,5.35255,5,2,7,2,3459,IsConfid,ToolConfid,1
8002,46,Female,88456,PPC,Awareness,1546.43,0.27749,0.0764227,2,8.22362,13.7949,0,11,2,8,2337,IsConfid,ToolConfid,1
8003,32,Female,44085,PPC,Conversion,539.526,0.137611,0.0880042,47,4.54094,14.6884,89,2,2,0,2463,IsConfid,ToolConfid,1
8004,60,Female,83964,PPC,Conversion,1678.04,0.252851,0.10994,0,2.04685,13.9934,6,6,6,8,4345,IsConfid,ToolConfid,1
8005,25,Female,42925,"Social Media",Awareness,9579.39,0.153795,0.161316,6,2.12585,7.75283,95,5,8,0,3316,IsConfid,ToolConfid,1
8006,38,Female,25615,Referral,Awareness,7302.9,0.0409754,0.0609768,42,1.75399,10.6987,54,14,3,6,930,IsConfid,ToolConfid,1
8007,56,Female,57083,"Social Media",Conversion,5324.28,0.0528779,0.188946,48,2.62601,2.98782,96,9,3,0,2983,IsConfid,ToolConfid,1
8008,36,Female,140788,Email,Retention,9421.25,0.023536,0.112585,13,5.47284,14.2874,73,4,8,5,460,IsConfid,ToolConfid,1
8009,40,Male,130764,"Social Media",Awareness,6229.19,0.0666413,0.169786,22,1.13566,4.61331,14,8,4,8,3789,IsConfid,ToolConfid,1
8010,28,Male,88319,PPC,Retention,7283.89,0.269148,0.109868,47,2.05418,3.29472,94,16,5,6,1987,IsConfid,ToolConfid,1
8011,28,Male,29605,SEO,Awareness,2898.25,0.198557,0.156679,16,9.16411,1.3723,23,18,6,5,2403,IsConfid,ToolConfid,1
8012,41,Male,131093,Email,Conversion,5930.92,0.224269,0.0197699,13,8.88923,8.48038,28,16,5,4,2946,IsConfid,ToolConfid,1
8013,53,Male,64608,SEO,Awareness,1520.42,0.190282,0.16185,8,8.49772,14.2527,81,8,1,2,2818,IsConfid,ToolConfid,1
8014,57,Male,148788,Email,Awareness,4104.38,0.122096,0.109552,20,7.35653,2.46603,70,16,8,1,3247,IsConfid,ToolConfid,1
8015,41,Female,39192,Email,Awareness,429.079,0.0728897,0.095389,44,6.95369,2.25204,33,0,1,1,4474,IsConfid,ToolConfid,0
8016,20,Female,23331,PPC,Conversion,2244.62,0.278428,0.0312058,1,3.47964,4.45267,77,7,8,8,3252,IsConfid,ToolConfid,1
8017,39,Female,71330,"Social Media",Conversion,841.199,0.159301,0.150897,31,4.01495,10.1482,83,18,5,2,3463,IsConfid,ToolConfid,1
8018,19,Female,117392,PPC,Conversion,3939.01,0.149519,0.0349211,7,3.12222,8.4433,92,8,4,6,2222,IsConfid,ToolConfid,1
8019,41,Female,69949,PPC,Consideration,8446.05,0.29887,0.0465404,35,9.82282,1.895,36,7,7,3,3644,IsConfid,ToolConfid,1
8020,61,Female,88382,PPC,Consideration,3841.55,0.12134,0.0340204,25,6.70874,6.91335,41,5,1,6,1651,IsConfid,ToolConfid,1
8021,47,Female,119233,SEO,Consideration,8333.23,0.257696,0.0112494,36,9.69191,1.47052,63,14,0,5,2586,IsConfid,ToolConfid,1
8022,55,Male,57586,Email,Consideration,6599.33,0.26008,0.135764,14,3.44608,12.8526,94,14,6,9,1989,IsConfid,ToolConfid,1
8023,19,Female,72243,Referral,Conversion,5144.34,0.0774744,0.0614604,33,6.59088,2.05312,18,5,5,3,1417,IsConfid,ToolConfid,1
8024,38,Female,120566,"Social Media",Awareness,2445.23,0.0375035,0.0383994,20,7.83056,7.33383,22,14,3,2,1563,IsConfid,ToolConfid,1
8025,50,Female,144213,PPC,Conversion,9229.35,0.29293,0.0707948,22,1.85265,7.90172,70,17,3,3,2227,IsConfid,ToolConfid,1
8026,29,Male,78618,Email,Consideration,636.588,0.13351,0.104826,8,7.00265,8.18683,5,5,5,1,129,IsConfid,ToolConfid,0
8027,39,Male,98311,"Social Media",Retention,6920.24,0.0106439,0.105648,39,2.52165,9.33275,98,17,6,1,2688,IsConfid,ToolConfid,1
8028,61,Female,27549,Referral,Retention,6250.27,0.154715,0.0797672,25,3.95274,10.6729,92,17,1,3,68,IsConfid,ToolConfid,1
8029,42,Female,138168,Referral,Conversion,4466.31,0.189597,0.104037,42,7.44538,0.563191,54,18,6,2,3079,IsConfid,ToolConfid,1
8030,66,Male,72494,PPC,Awareness,2479.18,0.235066,0.0911949,21,4.96058,0.948258,76,19,9,4,1011,IsConfid,ToolConfid,1
8031,44,Male,107973,Referral,Consideration,4363.89,0.283453,0.166306,12,9.29046,9.3675,38,12,6,0,911,IsConfid,ToolConfid,1
8032,59,Female,43958,Referral,Awareness,8740.45,0.275399,0.0156267,24,3.17082,3.14106,24,10,5,6,4683,IsConfid,ToolConfid,1
8033,45,Female,109779,"Social Media",Awareness,8383.98,0.282639,0.174926,6,2.38403,12.5618,97,14,2,3,467,IsConfid,ToolConfid,1
8034,33,Male,127713,"Social Media",Awareness,9419.67,0.0193163,0.0563439,26,4.03455,9.59892,82,5,7,5,653,IsConfid,ToolConfid,1
8035,32,Female,127960,PPC,Consideration,3147.15,0.216414,0.147139,14,8.66731,14.7158,3,10,0,1,2429,IsConfid,ToolConfid,1
8036,64,Male,114520,Email,Conversion,3932.33,0.0754988,0.0869575,11,8.62682,11.0561,87,3,7,3,1066,IsConfid,ToolConfid,1
8037,68,Male,122478,PPC,Consideration,285.389,0.0643903,0.0659233,44,4.32375,1.81536,32,14,6,4,257,IsConfid,ToolConfid,1
8038,61,Female,149203,SEO,Consideration,9435.21,0.242092,0.126916,32,8.28858,2.97915,65,15,1,5,4709,IsConfid,ToolConfid,1
8039,69,Male,141835,Referral,Conversion,3360.96,0.130968,0.156088,20,1.70009,1.17496,1,13,0,0,2885,IsConfid,ToolConfid,1
8040,20,Female,57538,Email,Conversion,4101.22,0.275814,0.0954879,24,1.06841,11.2471,13,4,7,3,1476,IsConfid,ToolConfid,1
8041,54,Female,25833,"Social Media",Conversion,9087.27,0.0223062,0.0986452,39,8.78324,2.33894,49,14,3,1,3243,IsConfid,ToolConfid,1
8042,68,Female,142893,SEO,Retention,5313.32,0.242632,0.0211827,46,8.86664,10.1246,10,9,9,9,3513,IsConfid,ToolConfid,1
8043,24,Male,43386,SEO,Retention,5705.13,0.049682,0.185559,21,2.29059,8.55327,33,5,9,0,913,IsConfid,ToolConfid,0
8044,38,Male,136981,Referral,Conversion,1844.71,0.0612074,0.17091,13,3.67943,9.68282,37,15,8,8,2136,IsConfid,ToolConfid,1
8045,26,Male,120349,"Social Media",Awareness,5036.73,0.148432,0.0856186,7,8.65537,7.87571,91,15,3,0,284,IsConfid,ToolConfid,1
8046,56,Female,119341,Email,Retention,9190.27,0.124721,0.155341,23,1.7539,0.688916,38,18,7,1,4275,IsConfid,ToolConfid,1
8047,35,Female,91778,"Social Media",Consideration,5631.31,0.15099,0.069523,2,8.76783,4.17166,21,2,7,8,3388,IsConfid,ToolConfid,1
8048,21,Female,114240,Referral,Consideration,2625.65,0.282608,0.14878,11,6.17214,13.3322,41,19,0,7,883,IsConfid,ToolConfid,1
8049,42,Female,127955,SEO,Retention,408.691,0.200643,0.108171,46,6.91549,13.9744,96,17,4,9,3404,IsConfid,ToolConfid,1
8050,31,Female,44832,Referral,Consideration,3429.39,0.0941897,0.0975457,21,6.35337,1.90954,94,18,3,9,4788,IsConfid,ToolConfid,1
8051,67,Female,97857,PPC,Conversion,5768.65,0.0601435,0.0207394,15,6.24279,14.3131,56,1,3,9,4720,IsConfid,ToolConfid,1
8052,26,Male,58930,SEO,Consideration,521.872,0.131813,0.19343,6,2.66555,10.2226,77,8,8,3,2124,IsConfid,ToolConfid,1
8053,43,Male,52407,Referral,Retention,6136.95,0.140976,0.169108,17,3.12452,13.8771,37,0,2,1,3219,IsConfid,ToolConfid,1
8054,19,Female,24073,Email,Awareness,5281.8,0.184375,0.160744,44,6.22048,6.31688,8,3,7,7,4930,IsConfid,ToolConfid,1
8055,37,Male,37667,Email,Consideration,7856.01,0.0871408,0.0679341,22,4.61265,1.9753,87,3,8,2,1977,IsConfid,ToolConfid,1
8056,45,Male,36035,Email,Consideration,385.993,0.232578,0.0650221,25,5.8716,4.88557,28,5,7,9,3851,IsConfid,ToolConfid,1
8057,64,Female,26732,PPC,Awareness,7830.39,0.0385535,0.118907,37,3.28029,10.5004,68,5,3,0,336,IsConfid,ToolConfid,1
8058,24,Female,75097,"Social Media",Retention,5256.68,0.172531,0.170782,1,5.1744,12.0307,41,18,1,1,465,IsConfid,ToolConfid,1
8059,61,Male,23487,Email,Awareness,3768.24,0.190824,0.187579,1,2.29064,1.22677,59,7,9,3,3434,IsConfid,ToolConfid,1
